"","M","trait","beta_EM","se_EM","p_EM","beta_MO","se_MO","p_MO"
"45","ebi-a-GCST90001435","Plasma Blast-Plasma Cell %lymphocyte",-0.0175848331608062,0.02738013804105,0.520712307498685,-0.0256829755182064,0.0228878021904014,0.261809286620653
"46","ebi-a-GCST90001436","Memory B cell %lymphocyte",-0.000979830160092602,0.030587561953318,0.974445244360016,0.0365518937693061,0.0335106505696352,0.275380910988826
"47","ebi-a-GCST90001437","Naive-mature B cell %lymphocyte",-0.0114262155463067,0.0294897945803179,0.698413188729638,-0.000902990051230958,0.0860703441146012,0.99162930494662
"48","ebi-a-GCST90001438","IgD- CD38dim B cell Absolute Count",0.0130829333396155,0.0257141145553727,0.610903546238098,-0.0720731075828389,0.0450213235861645,0.109406594788826
"49","ebi-a-GCST90001439","IgD+ CD24+ B cell %lymphocyte",-0.0109765883011338,0.0300863279218965,0.715233513710323,-0.0649292349408586,0.0873539752594604,0.457306826706247
"50","ebi-a-GCST90001440","IgD- CD24- B cell %lymphocyte",0.00546475166471556,0.0268615126679275,0.838789813330938,-0.0373407408631328,0.0607532606109324,0.53879948584306
"51","ebi-a-GCST90001441","IgD+ CD24- B cell %lymphocyte",-0.0083849422821299,0.0312398881460331,0.788387588661146,-0.0723957119394899,0.0746942972168099,0.332432060527541
"52","ebi-a-GCST90001442","CD24+ CD27+ B cell %lymphocyte",0.000642851930193012,0.0294309110627611,0.982573395518968,0.0497073686258119,0.037614358863075,0.186334761096451
"53","ebi-a-GCST90001443","CD20- B cell %lymphocyte",-0.029742902754762,0.0259796122566014,0.252269008003302,-0.0178909542163375,0.0406564432126053,0.659899355447579
"54","ebi-a-GCST90001444","CD20- CD38- B cell %lymphocyte",0.00177160419697042,0.0256960691538947,0.945033748651974,0.0307001741562663,0.0521980877477698,0.556433301118074
"55","ebi-a-GCST90001445","IgD- CD38- B cell %B cell",0.0136897422762457,0.0270785858465684,0.61316835764494,-0.0171374022563033,0.0559260176195216,0.759277369237152
"56","ebi-a-GCST90001446","IgD- CD38- B cell Absolute Count",-0.00174027970642145,0.0268375033401163,0.948297358531645,-0.0338494021585881,0.0587192952699248,0.564303410717157
"57","ebi-a-GCST90001447","IgD+ CD38+ B cell %B cell",0.00545084199569854,0.0264280833852229,0.836594161203058,-0.0253401996971506,0.0329275493642338,0.441552383760754
"58","ebi-a-GCST90001448","CD11c+ monocyte Absolute Count",-0.0203442574779148,0.0280694372804419,0.468585024090018,-0.0371692146893595,0.0707362302016768,0.599261928401586
"59","ebi-a-GCST90001449","CD11c+ monocyte %monocyte",0.00193973258247674,0.0286670577668276,0.946052974546617,-0.0674474142889882,0.0436013936196182,0.121885046242869
"60","ebi-a-GCST90001450","CD62L- monocyte Absolute Count",-0.026803672749166,0.0288634010853773,0.353076332076938,0.0515950050654565,0.0356015526184566,0.147272052924699
"61","ebi-a-GCST90001451","CD62L- monocyte %monocyte",-0.00485093025510317,0.0287853903869506,0.866173766402397,-0.0317549988462635,0.0392749037941468,0.418784651201904
"62","ebi-a-GCST90001452","CD11c+ CD62L- monocyte Absolute Count",-0.0205039228905073,0.0280564070002465,0.464894777155077,-0.0499727824630573,0.0307766092621554,0.104434286879797
"63","ebi-a-GCST90001453","CD11c+ CD62L- monocyte %monocyte",-0.00115856518257674,0.0288179696576469,0.967931386930835,-0.01865512135183,0.0883032098429949,0.832682757011749
"64","ebi-a-GCST90001454","CD62L- HLA DR++ monocyte Absolute Count",-0.0394196477183321,0.027837941065608,0.15676369191832,0.0360110740347314,0.110214234705347,0.74386677422121
"65","ebi-a-GCST90001455","CD62L- HLA DR++ monocyte %monocyte",-0.0314410637360148,0.0288296150367118,0.275456784620062,-0.0756745931262045,0.0715108841081519,0.289952954065404
"66","ebi-a-GCST90001456","CD11c+ HLA DR++ monocyte Absolute Count",-0.0271945734377956,0.0282717585093636,0.336100390716473,0.055875069877713,0.0650314692283241,0.390229916053071
"67","ebi-a-GCST90001457","CD11c+ HLA DR++ monocyte %monocyte",-0.0130216191584126,0.0288980379291229,0.652273793956773,0.00343894308871909,0.0703298170765566,0.961001084780506
"68","ebi-a-GCST90001458","Myeloid Dendritic Cell Absolute Count",-0.00704718934676725,0.0270894003140765,0.79475143487304,0.0390146784479929,0.0398176938507144,0.327168708197271
"69","ebi-a-GCST90001459","Myeloid Dendritic Cell %Dendritic Cell",0.0141070291494265,0.0273895905970983,0.606517557594469,0.065873141553584,0.0425770161796835,0.1218264511646
"70","ebi-a-GCST90001460","Plasmacytoid Dendritic Cell Absolute Count",-0.0236096920851589,0.0293602790298102,0.421317752158574,-0.0346013165291849,0.0277909140636897,0.213110210974004
